,text,label
0,"My grandfather died recently, He spent his final years as a regular user of facebook..We won't see the likes of him again.",1
1,I was sat in traffic the other day. Got hit by a car.,1
2,"Whats the difference between a ginger fanny and a cricket ball? If you try really hard, Really really hard, You can eat a cricket ball.",1
3,"Money can't buy happiness, but I'd much rather cry in a mansion.",1
4,2B or not 2B. That is the pencil.,1
5,What's the difference between a Jew and a canoe? Canoes tip!,1
6,"I've just won 10 million on the lottery and decided to buy my local Chinese takeaway called 'Happiness'.

Your move, philosophers.",1
7,A man was hospitalized with 6 plastic horses up his ass. The doctor described his condition as stable.,1
8,Just told my joke about Peter Pan again. Never gets old.,1
9,Two blondes were driving to Disneyland and the exit sign reads: DISNEYLAND LEFT. They started crying and headed home.,1
10,"Your head is so big, your ears are in different time zones.",1
11,"Knock, Knock. Who's there? Euripides. Euripides who? Euripides trouser, you menda these trousers.",1
12,What did the finger say to the thumb? I'm in glove with you.,1
13,My hugely-fat teacher was talking about the issue of obesity in America. Talk about an elephant in the room.,1
14,To be frank..would involve changing my name.,1
15,I just gave my girlfriend a ring and proposed....that we break up. Then I put the phone down on her.,1
16,What does a shopping cart and a wheelchair have in common? They both can be used to carry vegetables. ,1
17,What do you call a woman who stands straddling a river? Bridgette.,1
18,"Say ""poo"" and your mouth does the same motion as your anus. The exact same can be said for ""violent explosive diarrhoea""",1
19,Why did Tony the Tiger go to prison? RRRrrrrrrrrrrrape!,1
20,"My wife has left me, she says I love football more than I love her. I'm gutted, we've been together ten seasons!",1
21,"Hopped on the bus this morning, people were looking at me funny, so I decided to get in and sit down.",1
22,I can tell that my skincare jokes have made you cry because of how moisturiser.,1
23,Did you hear about the fella who had five cocks? His undies fit like a glove.,1
24,I was at the ATM when an old lady came up to me and asked to check her balance so I pushed her over.,1
25,"Yo mama so fat when her beeper goes off, people think she's backing up.",1
26,"Boss: ""How good are you at PowerPoint?"" Me: ""I Excel at it."" Boss: ""Was that Microsoft Office pun?"" Me: ""Word.""",1
27,What's the difference between a dog and a fox? About 9 pints,1
28,"I hope the guy who wants to make that million dollars so freaking bad makes $999,999.99 then gets hit by a bus. Via@amazingoneliner",1
29,Drilling for oil is boring.,1
30,What should you do if your girlfriend starts smoking? Slow down and consider lube.,1
31,Why is abbreviation such a long word?,1
32,Disney World - a people trap operated by a mouse.,1
33,Why didn't Mr. Clean's wife ever get pregnant? He comes in a bottle.,1
34,"I used to like my neighbours, until they put a password on their Wi-Fi.",1
35,"I love my wife, she always gives me 100% sound advice. 99% sound, 1% advice.",1
36,Here’s to being single – drinking doubles – and seeing triple!,1
37,"What is it called when you kill your friend? Homiecide.

Or murder",1
38,My new years resolution is to stop using spray on deodorant! Roll on 2016.,1
39,On holiday with my wife and I cannot believe how tiny and revealing her bikini is. The colour suits me though.,1
40,"I pulled a proper fit bird Saturday night! Part Mexican and right up for it. She told me she was dyslexic. I said get your taco, you've pulled!",1
41,A juggler is just a schizophrenic playing catch.,1
42,"Have you ever seen Puns: The Musical? If not, you really should. It's a great play on words.",1
43,More money is not more happiness. Cause I was just as happy at 40 million as I am now with 42 million,1
44,Yesterday I found out that my toaster isn't waterproof. I was shocked.,1
45,Somebody just threw a bottle of omega 3 capsules at me. I only have super fish oil injuries but I'm lucky I wasn't krilled!,1
46,Where do atheists donate their money? Non Prophet Organizations,1
47,"Fool me once , shame on me. Fool me twice, shame on thee. Fool me 8 times , you're probably a woman.",1
48,Becoming vegetarian is a big missed steak.,1
49,What do you call a dictionary on drugs? High definition.,1
50,Who's the world's most famous blacksmith? Will Smith,1
51,Are you a parking ticket? Because you have fine written all over you.,1
52,Why are four legged animals bad dancers? Cos they have two left feet.,1
53,Whenever i watch The Titanic I get a sinking feeling.,1
54,"Got the wife a prosthetic leg for Christmas. It's not her main present, just a stocking filler.",1
55,"If a turtle doesn't have a shell, is it naked or homeless?",1
56,I'm a perfectipnist.,1
57,"It takes 26 muscles to smile and 62 muscles to frown, so don't ever say that I don't go out of my way for you.",1
58,I'd love to have a job cleaning mirrors. It's something I could really see myself doing.,1
59,Dating a girl from the zoo. She's a keeper.,1
60,What do you call the first Irish woman ever created? The McRib.,1
61,I hope I never meet the girl of my dreams. Cause she'll be wanting some weird stuff.,1
